case,peace_budget,ag_budget,budget_ratio,climate,peace_strategy,ag_strategy,target_ag,feasible,strategy_type,violence_factor,grievance_factor,scarcity_factor,objective,ag_initial,ag_final,ag_reduction,ag_reduction_pct,gov_activity,econ_activity,trust_activity,ddr_activity,ag_recruitment,ag_violence
Severe,100,20,5.0,0.8,Governance Only,Aggressive,0.1,True,mono,0.8,0.54,1.0,24.896,1.0,0.0,1.0,100.0,1.2876,1.344,0.208,0.052,0.1296,1.0776
Severe,100,20,5.0,0.8,Governance Only,Aggressive,0.2,True,mono,0.8,0.54,1.0,24.896,1.0,0.0,1.0,100.0,1.2876,1.344,0.208,0.052,0.1296,1.0776
Severe,100,20,5.0,0.8,Governance Only,Aggressive,0.3,True,mono,0.8,0.54,1.0,24.896,1.0,0.0,1.0,100.0,1.2876,1.344,0.208,0.052,0.1296,1.0776
Severe,100,20,5.0,0.8,Governance Only,Recruitment Focus,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Governance Only,Recruitment Focus,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Governance Only,Recruitment Focus,0.3,True,mono,0.8,0.54,1.0,27.063200000000002,1.0,0.2408,0.7592,75.92,1.0468,1.5408,0.624,0.2488,0.1296,0.64
Severe,100,20,5.0,0.8,Governance Only,Territorial,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Governance Only,Territorial,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Governance Only,Territorial,0.3,True,mono,0.8,0.54,1.0,27.063200000000002,1.0,0.2408,0.7592,75.92,1.0468,1.5408,0.208,0.2488,0.1296,0.64
Severe,100,20,5.0,0.8,Governance Only,Defensive,0.1,True,mono,0.8,0.54,1.0,24.896,1.0,0.0,1.0,100.0,1.2876,1.344,0.208,0.052,0.1296,1.0776000000000001
Severe,100,20,5.0,0.8,Governance Only,Defensive,0.2,True,mono,0.8,0.54,1.0,24.896,1.0,0.0,1.0,100.0,1.2876,1.344,0.208,0.052,0.1296,1.0776000000000001
Severe,100,20,5.0,0.8,Governance Only,Defensive,0.3,True,mono,0.8,0.54,1.0,24.896,1.0,0.0,1.0,100.0,1.2876,1.344,0.208,0.052,0.1296,1.0776000000000001
Severe,100,20,5.0,0.8,Economic Only,Aggressive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Economic Only,Aggressive,0.2,True,mono,0.8,0.54,1.0,23.7864,1.0,0.1196,0.8804,88.03999999999999,0.96,7.04,0.0,0.0,0.1296,1.01
Severe,100,20,5.0,0.8,Economic Only,Aggressive,0.3,True,mono,0.8,0.54,1.0,23.7864,1.0,0.1196,0.8804,88.03999999999999,0.96,7.04,0.0,0.0,0.1296,1.01
Severe,100,20,5.0,0.8,Economic Only,Recruitment Focus,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Economic Only,Recruitment Focus,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Economic Only,Recruitment Focus,0.3,True,mono,0.8,0.54,1.0,25.3414,1.0,0.2776,0.7223999999999999,72.24,0.96,6.67,0.158,0.212,0.1296,0.64
Severe,100,20,5.0,0.8,Economic Only,Territorial,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Economic Only,Territorial,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Economic Only,Territorial,0.3,True,mono,0.8,0.54,1.0,25.3414,1.0,0.2776,0.7223999999999999,72.24,0.96,6.67,0.158,0.212,0.1296,0.64
Severe,100,20,5.0,0.8,Economic Only,Defensive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Economic Only,Defensive,0.2,True,mono,0.8,0.54,1.0,23.7864,1.0,0.1196,0.8804,88.03999999999999,0.96,7.04,0.0,0.0,0.1296,1.01
Severe,100,20,5.0,0.8,Economic Only,Defensive,0.3,True,mono,0.8,0.54,1.0,23.7864,1.0,0.1196,0.8804,88.03999999999999,0.96,7.04,0.0,0.0,0.1296,1.01
Severe,100,20,5.0,0.8,Security Only,Aggressive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Aggressive,0.2,True,mono,0.8,0.54,1.0,27.1304,1.0,0.1256,0.8744000000000001,87.44000000000001,0.954,0.448,0.416,0.0,0.1296,1.004
Severe,100,20,5.0,0.8,Security Only,Aggressive,0.3,True,mono,0.8,0.54,1.0,27.1304,1.0,0.1256,0.8744000000000001,87.44000000000001,0.954,0.448,0.416,0.0,0.1296,1.004
Severe,100,20,5.0,0.8,Security Only,Recruitment Focus,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Recruitment Focus,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Recruitment Focus,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Territorial,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Territorial,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Territorial,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Defensive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.8,Security Only,Defensive,0.2,True,mono,0.8,0.54,1.0,27.1304,1.0,0.1256,0.8744000000000001,87.44000000000001,0.954,0.448,0.416,0.0,0.1296,1.004
Severe,100,20,5.0,0.8,Security Only,Defensive,0.3,True,mono,0.8,0.54,1.0,27.1304,1.0,0.1256,0.8744000000000001,87.44000000000001,0.954,0.448,0.416,0.0,0.1296,1.004
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Aggressive,0.1,True,multi,0.8,0.54,1.0,22.7016,1.0,0.0,1.0,100.0,1.69,5.376,0.6104,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Aggressive,0.2,True,multi,0.8,0.54,1.0,22.7016,1.0,0.0,1.0,100.0,1.69,5.376,0.6104,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Aggressive,0.3,True,multi,0.8,0.54,1.0,22.7016,1.0,0.0,1.0,100.0,1.69,5.376,0.6104,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Recruitment Focus,0.1,True,multi,0.8,0.54,1.0,22.9464,1.0,0.0,1.0,100.0,1.4452,5.376,0.6892,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Recruitment Focus,0.2,True,multi,0.8,0.54,1.0,22.9464,1.0,0.0,1.0,100.0,1.4452,5.376,0.6892,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Recruitment Focus,0.3,True,multi,0.8,0.54,1.0,22.9464,1.0,0.0,1.0,100.0,1.4452,5.376,0.6892,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Territorial,0.1,True,multi,0.8,0.54,1.0,22.9464,1.0,0.0,1.0,100.0,1.4452,5.376,0.3656,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Territorial,0.2,True,multi,0.8,0.54,1.0,22.9464,1.0,0.0,1.0,100.0,1.4452,5.376,0.3656,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Territorial,0.3,True,multi,0.8,0.54,1.0,22.9464,1.0,0.0,1.0,100.0,1.4452,5.376,0.3656,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Defensive,0.1,True,multi,0.8,0.54,1.0,22.7016,1.0,0.0,1.0,100.0,1.69,5.376,0.6104,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Defensive,0.2,True,multi,0.8,0.54,1.0,22.7016,1.0,0.0,1.0,100.0,1.69,5.376,0.6104,0.0,0.1296,1.1296
